model,E,regime,N_star,N,ais_lag1,ais_lag2,ais_lag3,h_target,normalized,adequacy
linear,34.25,rise,10.929,20,nan,nan,nan,nan,nan,32000.0
linear,34.25,rise,10.929,21,nan,nan,nan,nan,nan,33600.0
linear,34.25,rise,10.929,22,nan,nan,nan,nan,nan,35200.0
linear,34.25,rise,10.929,23,nan,nan,nan,nan,nan,36800.0
linear,34.25,rise,10.929,24,nan,nan,nan,nan,nan,38400.0
linear,158.5,rise,16.393,2,nan,nan,nan,nan,nan,3200.0
linear,158.5,rise,16.393,3,nan,nan,nan,nan,nan,4800.0
linear,158.5,rise,16.393,4,nan,nan,nan,nan,nan,6400.0
linear,158.5,rise,16.393,5,nan,nan,nan,nan,nan,8000.0
linear,158.5,rise,16.393,6,nan,nan,nan,nan,nan,9600.0
linear,158.5,rise,16.393,7,nan,nan,nan,nan,nan,3733.3333333333335
linear,158.5,rise,16.393,8,nan,nan,nan,nan,nan,12800.0
linear,158.5,rise,16.393,9,nan,nan,nan,nan,nan,14400.0
linear,158.5,rise,16.393,10,nan,nan,nan,nan,nan,16000.0
linear,158.5,rise,16.393,11,nan,nan,0.002239820507064056,nan,nan,4400.0
linear,158.5,rise,16.393,12,nan,nan,0.0051811782227323576,nan,nan,4800.0
linear,158.5,rise,16.393,13,nan,0.012203088898606704,0.01250444319803172,nan,nan,5200.0
linear,158.5,rise,16.393,14,nan,0.048895050686100776,0.0493481767401926,nan,nan,3733.3333333333335
linear,158.5,rise,16.393,15,0.1743184120851213,0.17631307881232616,0.17741202789130442,0.37267712075606846,0.46774648181104583,2000.0
linear,158.5,rise,16.393,16,0.17081613268544993,0.17486477434038641,0.17552575400304182,0.35812215798072966,0.4769772796204401,1969.2307692307693
linear,158.5,rise,16.393,17,nan,0.027133874382354196,0.027251442549699554,nan,nan,4533.333333333333
linear,158.5,rise,16.393,18,nan,nan,0.004244770151347189,nan,nan,7200.0
linear,158.5,rise,16.393,19,nan,nan,nan,nan,nan,7600.0
linear,158.5,rise,16.393,20,nan,nan,nan,nan,nan,32000.0
linear,158.5,rise,16.393,21,nan,nan,nan,nan,nan,33600.0
linear,158.5,rise,16.393,22,nan,nan,nan,nan,nan,35200.0
linear,158.5,rise,16.393,23,nan,nan,nan,nan,nan,36800.0
linear,158.5,rise,16.393,24,nan,nan,nan,nan,nan,38400.0
pairwise,1.92,plateau,4.641867676308346,2,0.8828710484652076,0.8927327600976328,0.8855470385031486,1.9961121646964202,0.4422953098928083,228.57142857142858
pairwise,1.92,plateau,4.641867676308346,3,0.9271031256475004,0.9319389686247476,0.932774318915177,1.6046412652249866,0.5777634825547824,342.85714285714283
pairwise,1.92,plateau,4.641867676308346,4,0.9984704833173454,1.007557712096927,1.0081575724255998,1.5403055510338954,0.6482288417691832,457.14285714285717
pairwise,1.92,plateau,4.641867676308346,5,0.8620231030844693,0.8649694747493002,0.8666695464920395,1.3442572921422091,0.6412634754696022,571.4285714285714
pairwise,1.92,plateau,4.641867676308346,6,0.5013069158022483,0.5113423466663549,0.5143812391459764,0.9106710557944353,0.5504807829484895,685.7142857142857
pairwise,1.92,plateau,4.641867676308346,7,0.3823541149394487,0.38682299683866606,0.39015471482622144,0.7170743870869193,0.5332140177154342,800.0
pairwise,1.92,plateau,4.641867676308346,8,0.27725052174760345,0.27999655264984724,0.2804312979620284,0.5033393965962516,0.550822215829843,1066.6666666666667
pairwise,1.92,plateau,4.641867676308346,9,0.12596948013539083,0.12712051796243903,0.1278392243455878,0.25336380335370107,0.497188147904201,1107.6923076923076
pairwise,1.92,plateau,4.641867676308346,10,nan,0.05653168909767501,0.05703626086080317,nan,nan,2285.714285714286
pairwise,1.92,plateau,4.641867676308346,11,nan,nan,0.0026850927057194035,nan,nan,4400.0
pairwise,1.92,plateau,4.641867676308346,12,nan,nan,nan,nan,nan,19200.0
pairwise,1.92,plateau,4.641867676308346,13,nan,nan,nan,nan,nan,20800.0
pairwise,1.92,plateau,4.641867676308346,14,nan,nan,nan,nan,nan,22400.0
pairwise,1.92,plateau,4.641867676308346,15,nan,nan,nan,nan,nan,24000.0
pairwise,1.92,plateau,4.641867676308346,16,nan,nan,nan,nan,nan,25600.0
